study,backend,ranks,records,cities,io_seconds,boundary_seconds,compute_seconds,reduce_seconds,total_seconds,mean_peak_share,mean_headway_seconds,mean_headway_cv,status
strong,cpu,2,400000,3,0.006579,0.000003,0.002063,0.000042,0.013459,0.346077,199.744908,3.060187,SUCCESS
strong,cpu,4,400000,3,0.001858,0.000010,0.001102,0.000107,0.006184,0.346077,199.744908,3.060187,SUCCESS
strong,cpu,8,400000,3,0.003844,0.000040,0.000570,0.000111,0.010815,0.346077,199.744908,3.060187,SUCCESS
strong,cpu,16,400000,3,0.004486,0.000020,0.000267,0.000120,0.010461,0.346077,199.744908,3.060187,SUCCESS
strong,cuda,2,400000,3,0.003154,0.000007,0.005599,0.000079,0.295967,0.346076,199.744908,3.060187,SUCCESS
strong,cuda,4,400000,3,0.001825,0.000009,0.003800,0.000162,0.470009,0.346075,199.744908,3.060187,SUCCESS
strong,cuda,8,400000,3,0.000953,0.000037,0.002663,0.000155,0.484154,0.346077,199.744908,3.060187,SUCCESS
strong,cuda,16,400000,3,0.000523,0.000018,0.000910,0.000174,0.471585,0.346079,199.744908,3.060187,SUCCESS
weak,cpu,2,300000,2,0.002413,0.000005,0.001709,0.000042,0.006884,0.360125,194.130082,2.798647,SUCCESS
weak,cpu,4,576229,5,0.003103,0.000013,0.001657,0.000112,0.007977,0.349316,388.977728,2.450221,SUCCESS
weak,cpu,8,576229,5,0.004594,0.000040,0.000883,0.000121,0.008887,0.349316,388.977728,2.450221,SUCCESS
weak,cpu,16,576229,5,0.003618,0.000020,0.000448,0.000125,0.008301,0.349316,388.977728,2.450221,SUCCESS
weak,cuda,2,300000,2,0.002520,0.000008,0.004546,0.000071,0.298643,0.360124,194.130082,2.798647,SUCCESS
weak,cuda,4,576229,5,0.002638,0.000012,0.005032,0.000172,0.467152,0.349317,388.977728,2.450221,SUCCESS
weak,cuda,8,576229,5,0.001438,0.000058,0.003162,0.000160,0.479151,0.349321,388.977728,2.450221,SUCCESS
weak,cuda,16,576229,5,0.000691,0.000019,0.001166,0.000173,0.484474,0.349317,388.977728,2.450221,SUCCESS
strong,cpu,2,400000,3,0.002562,0.000005,0.002124,0.000046,0.007274,0.346077,199.744908,3.060187,SUCCESS
strong,cpu,4,400000,3,0.001870,0.000008,0.001403,0.000112,0.006434,0.346077,199.744908,3.060187,SUCCESS
strong,cpu,8,400000,3,0.000885,0.000037,0.000529,0.000111,0.006249,0.346077,199.744908,3.060187,SUCCESS
strong,cpu,16,400000,3,0.000503,0.000017,0.000286,0.000125,0.004980,0.346077,199.744908,3.060187,SUCCESS
strong,cuda,2,400000,3,0.003229,0.000010,0.005627,0.000081,0.296084,0.346076,199.744908,3.060187,SUCCESS
strong,cuda,4,400000,3,0.001742,0.000009,0.003826,0.000168,0.477530,0.346075,199.744908,3.060187,SUCCESS
strong,cuda,8,400000,3,0.000935,0.000039,0.002606,0.000153,0.486172,0.346077,199.744908,3.060187,SUCCESS
strong,cuda,16,400000,3,0.000506,0.000018,0.000928,0.000171,0.494715,0.346079,199.744908,3.060187,SUCCESS
weak,cpu,2,300000,2,0.002512,0.000005,0.001604,0.000040,0.006840,0.360125,194.130082,2.798647,SUCCESS
weak,cpu,4,576229,5,0.002522,0.000013,0.001667,0.000123,0.007241,0.349316,388.977728,2.450221,SUCCESS
weak,cpu,8,576229,5,0.001337,0.000041,0.000886,0.000121,0.005829,0.349316,388.977728,2.450221,SUCCESS
weak,cpu,16,576229,5,0.000693,0.000019,0.000456,0.000124,0.005123,0.349316,388.977728,2.450221,SUCCESS
weak,cuda,2,300000,2,0.002510,0.000005,0.004574,0.000075,0.299248,0.360124,194.130082,2.798647,SUCCESS
weak,cuda,4,576229,5,0.002476,0.000011,0.004948,0.000160,0.476665,0.349317,388.977728,2.450221,SUCCESS
weak,cuda,8,576229,5,0.001374,0.000039,0.003148,0.000165,0.487379,0.349321,388.977728,2.450221,SUCCESS
weak,cuda,16,576229,5,0.000707,0.000019,0.001129,0.000169,0.474081,0.349317,388.977728,2.450221,SUCCESS
